age,NumberOfDependents,MonthlyIncome,DebtRatio,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,RevolvingUtilizationOfUnsecuredLines,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,NumberOfTimes90DaysLate,imputed_income
28,0.0,16000.0,0.078120117,4,1,0.326736087,0,0,0,0.0
70,0.0,4237.0,0.626710713,6,1,0.38654265,0,0,0,0.0
71,0.0,11764.0,0.000594985,9,0,0.000967012,0,0,0,0.0
63,3.0,5437.0,0.45539819753540556,13,2,0.525560116,0,0,0,1.0
34,2.0,1500.0,0.611592272,4,0,0.990000645,1,0,1,0.0
71,0.0,6250.0,0.07118861,9,0,0.18866681,0,0,0,0.0
61,0.0,3416.0,0.170324846,8,0,0.97049592,0,0,0,0.0
71,0.0,5437.0,0.08736435534302005,4,1,0.161919767,0,0,0,1.0
68,1.0,4916.0,0.134228188,7,1,0.017187462,1,0,0,0.0
54,3.0,5727.0,0.354050279,10,1,0.018076952,0,0,0,0.0
59,0.0,5437.0,0.039911716019863895,8,0,0.166708811,0,0,0,1.0
33,0.0,7083.0,0.11744777,4,0,0.9999999,1,0,1,0.0
54,0.0,23000.0,0.038371201,4,1,0.204179582,0,0,0,0.0
70,0.0,10500.0,0.092562613,9,1,0.309291091,0,0,0,0.0
53,1.0,7000.0,0.21454078,10,1,0.0,0,0,0,0.0
82,0.0,5437.0,0.004598123965422108,4,0,0.055559028,0,0,0,1.0
55,3.0,9087.0,0.347711268,7,1,0.0,0,0,0,0.0
40,1.0,7514.0,0.165934797,9,0,0.129874458,0,0,0,0.0
64,0.0,4164.0,0.075390156,4,0,0.933594175,0,0,0,0.0
73,0.0,4166.0,0.010319174,7,0,0.021003825,0,0,0,0.0
31,,5437.0,0.0001839249586168843,3,0,0.012496876,0,0,0,1.0
53,0.0,5437.0,0.2392863711605665,4,2,0.0,0,0,0,1.0
70,0.0,4200.0,0.084979767,5,0,0.270351784,0,0,0,0.0
51,2.0,5444.0,0.567860422,10,1,0.486421388,0,0,0,0.0
69,0.0,7000.0,0.003570918,11,0,0.020202533,0,1,0,0.0
54,0.0,7066.0,0.251308901,4,1,0.222177782,0,0,0,0.0
66,0.0,5437.0,0.4020599595365091,10,1,0.204522811,0,0,0,1.0
49,3.0,8900.0,0.180092124,6,1,0.0,1,0,0,0.0
58,1.0,15671.0,0.213246554,7,2,0.070902278,0,0,0,0.0
46,0.0,5437.0,0.07816810741217584,6,0,0.005991602,0,0,0,1.0
44,3.0,7083.0,0.464709204,6,1,1.0061529,0,0,1,0.0
47,1.0,6200.0,0.431543299,9,1,0.502958866,0,0,0,0.0
57,0.0,5600.0,0.145866809,4,1,0.057276084,0,0,0,0.0
40,3.0,7300.0,0.411313519,12,2,0.377562863,0,0,0,0.0
52,0.0,10000.0,0.217978202,7,1,0.11050985,0,0,0,0.0
46,0.0,5437.0,0.004414199006805224,2,0,0.032273244,0,0,0,1.0
41,0.0,5437.0,0.6266323340077249,12,1,0.431342429,0,0,0,1.0
40,1.0,3966.0,0.227123771,10,0,0.105784536,0,0,0,0.0
70,0.0,2800.0,0.725455195,7,1,0.416195004,0,0,0,0.0
58,0.0,4522.0,0.363254477,3,1,0.430673997,0,0,0,0.0
63,0.0,4776.0,0.508687461,7,2,0.644296304,1,0,0,0.0
48,0.0,15000.0,0.300379975,8,1,0.563518742,0,0,0,0.0
51,0.0,7813.0,0.370488866,12,1,0.547376929,0,0,0,0.0
67,0.0,6533.0,0.917355372,9,0,1.062146893,3,0,0,0.0
45,3.0,5437.0,0.3128563546073202,9,0,0.209414222,0,0,0,1.0
48,0.0,900.0,2.016648169,7,1,0.44350807,0,0,0,0.0
46,0.0,5266.0,0.53521929,6,2,0.196319018,0,0,0,0.0
56,1.0,22000.0,0.247443298,17,1,0.374311098,0,0,0,0.0
67,0.0,14100.0,0.197290972,5,2,0.04929064,0,0,0,0.0
48,2.0,15000.0,0.100459969,7,0,0.0,0,0,0,0.0
53,0.0,8416.0,0.725555424,9,4,0.003054564,0,0,0,0.0
53,0.0,3700.0,0.030532289,5,0,0.379262074,0,0,0,0.0
